question2_en,question2_ko
What is the step by step guide to invest in share market?,주식 시장에 투자하는 단계별 가이드는 무엇입니까?
What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?,인도 정부가 코이누르(Koh-i-Noor) 다이아몬드를 다시 훔친다면 어떻게 될까요?
How can Internet speed be increased by hacking through DNS?,DNS를 통한 해킹으로 인터넷 속도를 어떻게 높일 수 있나요?
"Find the remainder when [math]23^{24}[/math] is divided by 24,23?","[math]23^{24}[/math]를 24,23으로 나눈 나머지를 구하시겠어요?"
Which fish would survive in salt water?,바닷물에서는 어떤 물고기가 살아남을까요?
"I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?","저는 삼중 염소자리(태양, 달, 염소자리 승천자)입니다. 이것이 나에 대해 무엇을 말해주는 걸까요?"
What keeps childern active and far from phone and video games?,무엇이 아이들을 활동적으로 유지하고 전화나 비디오 게임을 멀리하게 합니까?
What should I do to be a great geologist?,훌륭한 지질학자가 되려면 어떻게 해야 합니까?
"When do you use ""&"" instead of ""and""?","언제 ""and"" 대신 ""&""를 사용합니까?"
How do I hack Motorola DCX3400 for free internet?,무료 인터넷을 위해 Motorola DCX3400을 해킹하는 방법은 무엇입니까?
What are some of the things technicians can tell about the durability and reliability of Laptops and its components?,기술자는 노트북과 해당 구성 요소의 내구성과 신뢰성에 대해 무엇을 알 수 있습니까?
How can I see all my Youtube comments?,내 유튜브 댓글을 모두 보려면 어떻게 해야 하나요?
How can you make physics easy to learn?,어떻게 물리학을 쉽게 배울 수 있나요?
What was your first sexual experience?,첫 번째 성적 경험은 무엇이었나요?
What are the laws to change your status from a student visa to a green card in the US? How do they compare to the immigration laws in Japan?,미국에서 학생 비자에서 영주권으로 신분을 변경하는 데 필요한 법률은 무엇입니까? 일본의 이민법과 어떻게 비교됩니까?
How will a Trump presidency affect the students presently in US or planning to study in US?,트럼프 대통령직은 현재 미국에 있거나 미국에서 공부할 계획을 갖고 있는 학생들에게 어떤 영향을 미칠까요?
What does manipulation means?,조작은 무슨 뜻인가요?
How do guys feel after rejecting a girl?,남자들은 여자를 거절하고 나면 어떤 기분이 들까?
Why do people ask Quora questions which can be answered easily by Google?,사람들은 왜 Google에서 쉽게 답변할 수 있는 Quora 질문을 합니까?
Which is the best digital marketing institute in Pune?,푸네 최고의 디지털 마케팅 기관은 어디인가요?
Why are rockets and boosters painted white?,로켓과 부스터는 왜 흰색으로 칠해져 있나요?
What can I do to avoid being jealous of someone?,누군가를 질투하지 않으려면 어떻게 해야 합니까?
Which question should I ask on Quora?,Quora에 어떤 질문을 해야 하나요?
Where can I find a conversion chart for CC to horsepower?,CC를 마력으로 변환하는 차트는 어디서 찾을 수 있나요?
How many times a day do a clock’s hands overlap?,시계 바늘은 하루에 몇 번이나 겹치나요?
What are some tips on making it through the job interview process at Foundation Medicine?,Foundation Medicine의 취업 면접 과정을 통과하는 데 도움이 되는 몇 가지 팁은 무엇입니까?
What is the web application framework?,웹 애플리케이션 프레임워크란 무엇입니까?
How do sports contribute to the society?,스포츠는 사회에 어떻게 기여하는가?
What is best way to ask for money online?,온라인으로 돈을 요청하는 가장 좋은 방법은 무엇입니까?
How one should know that he/she completely prepare for CA final exam?,CA 최종 시험을 완벽하게 준비했는지 어떻게 알 수 있나요?
What's one thing you do despite knowing better?,더 잘 알고 있음에도 불구하고 당신이 하는 한 가지 일은 무엇입니까?
How can I keep my nose from getting stuffy at night?,밤에 코가 막히지 않게 하려면 어떻게 해야 하나요?
What Game of Thrones villain would you most like to be at the mercy of?,왕좌의 게임에서 가장 마음에 드는 악당은 누구입니까?
How is the average speed of gas molecules determined?,가스 분자의 평균 속도는 어떻게 결정됩니까?
What is the best travel website?,최고의 여행 웹사이트는 무엇인가요?
Has there been a gun control initiative to take away guns people already own?,사람들이 이미 소유하고 있는 총기를 제거하기 위한 총기 규제 계획이 있었습니까?
I am a 19 year old guy. How can I become a billionaire in the next 10 years?,저는 19세 남자입니다. 앞으로 10년 안에 어떻게 억만장자가 될 수 있을까?
My girlfriend said that we should end this because she is confused about her feelings for me. I wished her well and disconnected. Should I call her and ask her if she wants to get back together?,내 여자친구는 나에 대한 자신의 감정이 혼란스럽기 때문에 이 일을 끝내야 한다고 말했습니다. 나는 그녀의 안녕을 빌고 연결을 끊었습니다. 그녀에게 전화해서 다시 만나고 싶은지 물어봐야 할까요?
How do I prepare for civil service?,공무원 준비는 어떻게 해야 하나요?
"Why did aircraft stop using variable-sweep wings, like those on an F-14?",항공기가 F-14와 같은 가변 스위프 날개 사용을 중단한 이유는 무엇입니까?
Will squats make my legs thicker?,스쿼트를 하면 다리가 굵어질까?
When can I expect Cognizant confirmation mail?,Cognizant 확인 메일은 언제 받을 수 있나요?
"Can I make 30,000 a month by day trading?","데이 트레이딩으로 한 달에 30,000을 벌 수 있나요?"
Is being bored good for a kid?,지루해하는 것이 아이에게 좋을까요?
What universities does B&G Foods recruit new grads from? What majors are they looking for?,B&G Foods는 어떤 대학에서 새로운 졸업생을 모집합니까? 그들은 어떤 전공을 찾고 있나요?
How can we increase our number of Instagram followers?,인스타그램 팔로워 수를 어떻게 늘릴 수 있나요?
Does Quora have a character limit for profile descriptions?,Quora에는 프로필 설명에 글자수 제한이 있나요?
"Who is affected more by a breakup, the boy or the girl?",이별으로 인해 남자와 여자 중 누가 더 큰 영향을 받나요?
What are some of the products made from crude oil?,원유로 만든 제품에는 어떤 것들이 있나요?
How to make friends ?,친구를 사귀는 방법?
How is career launcher online program for RBI Grade B?,타점 B등급을 위한 커리어 런처 온라인 프로그램은 어떤가요?
How can you play a Blu Ray DVD on a regular DVD player?,일반 DVD 플레이어에서 Blu Ray DVD를 어떻게 재생할 수 있습니까?
Aerodynamically what happens when propellor rotates?,프로펠러가 회전하면 공기역학적으로 어떤 일이 발생합니까?
What is the most delicious dish you've ever eaten and why?,지금까지 먹어본 음식 중 가장 맛있는 음식은 무엇이며 그 이유는 무엇입니까?
Why can't I do my homework?,나는 왜 숙제를 할 수 없나요?
Do you apply for programs like RSI when you're a rising senior?,당신이 고등학생이 되었을 때 RSI와 같은 프로그램에 지원합니까?
Is my boyfriend lying about his true feelings for his friend and is he secretly attracted to her?,"내 남자친구는 친구에 대한 자신의 진심을 거짓말하고 있고, 몰래 그녀에게 매력을 느끼고 있는 걸까요?"
What are some of the best rap songs?,최고의 랩 노래는 무엇입니까?
I can't remember my Gmail password or my recovery email. How can I recover my e-mail?,내 Gmail 비밀번호나 복구 이메일이 기억나지 않습니다. 내 이메일을 어떻게 복구할 수 있나요?
How do I learn french genders?,프랑스어 성별은 어떻게 배우나요?
Is Kickass Torrents trustworthy?,Kickass Torrents는 신뢰할 수 있나요?
What causes a dark ring around the iris? How should it be treated?,홍채 주위에 어두운 고리가 나타나는 이유는 무엇입니까? 어떻게 치료해야합니까?
How bad is the new book by J.K Rowling?,J.K Rowling의 새 책은 얼마나 나빴나요?
Why do I always get depressed in the evening?,왜 저녁만 되면 항상 우울해지는 걸까요?
Where do I find a U.S. family office database?,미국 패밀리 오피스 데이터베이스는 어디서 찾을 수 있나요?
How do I learn a computer language like java?,자바 같은 컴퓨터 언어는 어떻게 배우나요?
What is the most important book you have ever read?,지금까지 읽은 책 중 가장 중요한 책은 무엇입니까?
Is it possible to store the energy of lightning?,번개 에너지를 저장할 수 있나요?
What is performance testing?,성능 테스트란 무엇입니까?
Are there any people who genuinely enjoy salad with no dressing?,드레싱 없이 샐러드를 진심으로 즐기는 사람이 있을까?
What are the different types of immunity in our body?,우리 몸의 면역에는 어떤 종류가 있나요?
What is narcissistic personality disorder?,자기애성 인격장애란 무엇인가요?
How can I learn to speak English fluently?,영어를 유창하게 말하는 법을 어떻게 배울 수 있나요?
What is the quickbooks customer support phone number USA?,미국 Quickbooks 고객 지원 전화번호는 무엇입니까?
Who is the richest gambler of all time and how can I reach his level as a gambler?,"역사상 가장 부유한 도박꾼은 누구이며, 도박꾼으로서 그의 수준에 어떻게 도달할 수 있습니까?"
"Do bullets travel faster than the speed of sound when shot from a gun? If not, is it possible? If they do, what gun and how much devastation occurs?",총에서 발사된 총알은 음속보다 빠르게 이동합니까? 그렇지 않다면 가능합니까? 그렇다면 어떤 총이 있고 얼마나 많은 피해가 발생합니까?
Is breast cancer preventable?,유방암은 예방이 가능한가요?
How can I know who logged in to my Gmail account? (by telling his IP address or device name)?,누가 내 Gmail 계정에 로그인했는지 어떻게 알 수 있나요? (그의 IP 주소나 장치 이름을 알려줌으로써)?
"What are some different ways to make money online, excluding selling things?",물건 판매를 제외하고 온라인으로 돈을 버는 방법에는 어떤 것이 있습니까?
What's the purpose of life? What is life actually about?,인생의 목적은 무엇입니까? 인생은 실제로 무엇에 관한 것입니까?
"Why India does not apply the ""Burma-Rohingya model"" to deport illegal Bangladeshis?","인도는 왜 불법 방글라데시인을 추방하기 위해 ""버마-로힝야 모델""을 적용하지 않습니까?"
How important is it to be the first person to wish someone a happy birthday?,누군가의 생일을 축하하는 첫 번째 사람이 되는 것이 얼마나 중요합니까?
"I want to make a travel commercial/clip video HD , For India and New Zealand. How much will it cost?",인도와 뉴질랜드를 위한 여행 광고/클립 비디오 HD를 만들고 싶습니다. 비용은 얼마나 들까요?
Why do technical employees despise sales people so much?,기술직 직원은 왜 영업사원을 그토록 경멸합니까?
What are some high paying jobs for a fresher with an M.Tech in biotechnology?,생명공학 M.Tech를 취득한 신입사원을 위한 고임금 직업은 무엇입니까?
Can height increase after 25?,25세 이후에도 키가 커질 수 있나요?
"What were the major effects of the cambodia earthquake, and how do these effects compare to the Valparaiso earthquake in 1822?","캄보디아 지진의 주요 영향은 무엇이며, 이러한 영향은 1822년 발파라이소 지진과 어떻게 비교됩니까?"
What's the difference between honest and sincere?,이들솔직하다그리고 진실하다의 차이점은 무엇인가요?
Which is the best gaming laptop under Rs 60000?,60만원 미만 최고의 게이밍 노트북은 무엇일까요?
What is your review of The Next Warrior: Proving Grounds - Part 5?,The Next Warrior: Proving Grounds - Part 5에 대한 리뷰는 무엇인가요?
